,ADRO.JK,AKRA.JK,ANTM.JK,ASII.JK,BRPT.JK,BSDE.JK,BTPS.JK,CPIN.JK,CTRA.JK,ERAA.JK,EXCL.JK,ICBP.JK,INCO.JK,INDF.JK,INDY.JK,INTP.JK,ITMG.JK,JPFA.JK,JSMR.JK,KLBF.JK,LPPF.JK,PTBA.JK,PTPP.JK,SCMA.JK,SMGR.JK,TLKM.JK,UNTR.JK,UNVR.JK,WIKA.JK,WSBP.JK
ADRO.JK,1.0,0.44336039962363694,-0.7533859726856964,0.1728871307021993,0.5117874372946202,0.007891202429564696,-0.6340761468157219,0.09403403061131811,-0.06618272470505474,0.23916233511372,0.09561561173092073,0.18921310038788564,0.620523500127046,0.25256189874547524,0.7910316572042438,0.10727222370724167,0.7689827987498674,0.2896312495769134,-0.02840500346116659,-0.00517622217441277,-0.5011740321297012,0.5099190208770684,-0.26323832517668727,-0.1731064764275129,-0.05575079394769458,-0.30994659191698887,0.6728227585461599,0.1911062693533033,-0.21474334242273824,0.8169346734753049
AKRA.JK,0.44336039962363694,1.0,-0.3919179709177627,0.4474262105322097,-0.38798880060565505,0.5516832584407305,0.10894415425541872,0.21902415676408113,-0.2506129058229575,-0.09992121442225553,-0.5895558109577373,-0.37411341365710843,-0.14105681090640365,-0.18882509539108194,0.3754000498020977,-0.29025168186558475,0.28532671770767837,0.24525949097026856,0.14246603243187358,0.11926289676966653,-0.18799035754954646,0.41617685469642385,0.613316956609608,0.5321733220580073,-0.2640418088969713,-0.05191186179623526,0.544046830697749,0.4418109467113662,0.533163988951915,0.655450657846005
ANTM.JK,-0.7533859726856964,-0.3919179709177627,1.0,-0.8886810405419441,0.7230699786102798,-0.3664285925363622,0.3353424312574702,-0.01956886060743983,0.7522151391564029,0.5703695854650568,0.887558739532494,0.9490698155746821,0.8804737759187768,0.8402133176734737,-0.24958642173152357,0.5857319705446605,-0.8106214009168602,0.15622752623584438,0.16872452487297493,0.5682822005896692,-0.5195761280430081,-0.8898769837172653,-0.4933996123062064,-0.9109431145166521,0.7788205225964564,0.7342102237144009,-0.7623696219588135,0.013022641669970345,-0.1626719561277384,-0.7014567968619005
ASII.JK,0.1728871307021993,0.4474262105322097,-0.8886810405419441,1.0,0.38662031807886116,0.8929135251030541,0.0316879331070802,0.903319679869907,0.9277234161516353,-0.035711089832015666,0.4918508294861848,0.9238765756607061,-0.10637609268331541,0.9770700574858086,-0.2891844567609573,0.9471675589514138,0.27688531777098685,0.9042564947676784,0.9099353354915793,0.957286086629441,-0.6484333633376684,0.7765371976794299,0.6688168093864626,0.9303768887977596,0.866798108453468,-0.6509809232400252,0.8989690576671218,0.9399701312640872,0.831211459737001,0.8330654307027016
BRPT.JK,0.5117874372946202,-0.38798880060565505,0.7230699786102798,0.38662031807886116,1.0,0.13956641733777697,0.8362501905152597,0.4188995125439612,0.31456432645289895,0.25122758448619914,-0.24353630338784796,0.574566057279899,0.2400974446402207,0.41747498279063616,0.3793930089072228,0.3617280617668637,0.34704959969109017,0.5619296590207917,0.15273288973415536,0.35867426336016056,-0.14653319614842936,0.7161752027467518,0.1781344503545234,0.16901855771117952,0.17934111931925117,0.5831823272406402,0.562710495839252,0.5509256695560133,0.1342041306141199,-0.44424189213128457
BSDE.JK,0.007891202429564696,0.5516832584407305,-0.3664285925363622,0.8929135251030541,0.13956641733777697,1.0,0.12002873271136265,0.6912232630756381,0.9583547640899829,-0.4776831899260022,0.2867878674872369,0.7853703127833642,-0.13962659876058045,0.9087920691983261,-0.4243663731615006,0.8305723744163257,0.0007954074670980695,0.6345130900613408,0.8792475811518268,0.9246947043147072,-0.33799658949061245,0.3896176545500538,0.8636007209669546,0.9204597468762019,0.7332562650763838,0.037006634824451504,0.5494086507091552,0.8210995842898514,0.9121634076301497,0.7315076094786086
BTPS.JK,-0.6340761468157219,0.10894415425541872,0.3353424312574702,0.0316879331070802,0.8362501905152597,0.12002873271136265,1.0,0.07528771792206058,0.6397488091576085,-0.5261306891045345,0.5172010389921097,0.7106110697507276,-0.5728481590044621,0.48649726917241776,-0.7047880796166531,0.7866091433283915,-0.7829259663759389,-0.34253634406042427,0.8292913338725949,0.4053933767559165,-0.7379413928319065,-0.79690731889331,0.20284261663177588,-0.7380796978656019,0.6585229591660576,0.6260610620273073,-0.677530307114526,0.1826068745851176,0.8868183528098756,0.08306146453051638
CPIN.JK,0.09403403061131811,0.21902415676408113,-0.01956886060743983,0.903319679869907,0.4188995125439612,0.6912232630756381,0.07528771792206058,1.0,0.7793615330262651,0.5767681024480038,0.46492113240480626,0.8373895500850433,-0.03934737293104564,0.8713069191216972,-0.19843676985009698,0.882981498004539,0.3823609039775764,0.9372544864808402,0.8185398862691694,0.8595606703782855,-0.6059170260096176,0.7774756014770534,0.28193508485991886,0.7991587991026109,0.8749270298574416,0.3851253066129837,0.751943468932744,0.823229186765684,0.7038289680216268,0.3876788024756814
CTRA.JK,-0.06618272470505474,-0.2506129058229575,0.7522151391564029,0.9277234161516353,0.31456432645289895,0.9583547640899829,0.6397488091576085,0.7793615330262651,1.0,-0.3786970684065782,0.32079690250944165,0.9093919188538973,-0.09677216566979754,0.9320385079938759,-0.4711438421580478,0.891185110510221,-0.06508381519854439,0.8035677490466333,0.8527017056065307,0.9533210035853115,-0.43417256794916176,0.6477092096299042,0.8852566758076643,0.9377808690764416,0.7658667328373693,0.8009092145131459,0.7848931047619557,0.9094218560051714,0.9458308434253522,-0.46760476299618065
ERAA.JK,0.23916233511372,-0.09992121442225553,0.5703695854650568,-0.035711089832015666,0.25122758448619914,-0.4776831899260022,-0.5261306891045345,0.5767681024480038,-0.3786970684065782,1.0,0.11721974176965833,-0.04966732590399911,0.3154773791008668,-0.16022660884732326,0.46417855941904934,0.10821240835713075,0.6932687889984027,0.5603021464543769,-0.060602136315726425,-0.30427954748229846,-0.6178340581280113,0.4168591613558858,-0.5865316302849267,-0.4626945987281033,0.3461620991196408,0.7600875841519734,0.1868298728750743,-0.1729366922523618,-0.43783054198504046,-0.16706487777435586
