Date,ADRO.JK,AKRA.JK,ANTM.JK,ASII.JK,BRPT.JK,BSDE.JK,BTPS.JK,CPIN.JK,CTRA.JK,ERAA.JK,EXCL.JK,ICBP.JK,INCO.JK,INDF.JK,INDY.JK,INTP.JK,ITMG.JK,JPFA.JK,JSMR.JK,KLBF.JK,LPPF.JK,PTBA.JK,PTPP.JK,SCMA.JK,SMGR.JK,TLKM.JK,UNTR.JK,UNVR.JK,WIKA.JK,WSBP.JK
2000-11-08,,,,3.151536703109741,,,,,75.12443542480469,,,299.0655212402344,,494.4859924316406,,,,,,,,,,,,,255.2701568603516,,,
2000-11-09,,,,3.151536703109741,,,,,74.0196304321289,,,299.0655212402344,,494.4859924316406,,,,,,,,,,,,,249.26373291015625,,,
2000-11-10,,,,3.1157243251800537,,,,,74.0196304321289,,,308.41131591796875,,509.93878173828125,,,,,,,,,,,,,249.26373291015625,,,
2000-11-13,,,,3.079911470413208,,,,,74.0196304321289,,,308.41131591796875,,509.93878173828125,,,,,,,,,,,,,246.26089477539062,,,
2000-11-14,,,,3.079911470413208,,,,,72.91483306884766,,,308.41131591796875,,509.93878173828125,,,,,,,,,,,,,249.26373291015625,,,
2000-11-15,,,,3.008268117904663,,,,,70.705322265625,,,308.41131591796875,,509.93878173828125,,,,,,,,,,,,,237.2510986328125,,,
2000-11-16,,,,2.9724550247192383,,,,,70.705322265625,,,299.0655212402344,,494.4859924316406,,,,,,,,,,,,,243.2574005126953,,,
2000-11-17,,,,2.936643362045288,,,,,70.705322265625,,,299.0655212402344,,494.4859924316406,,,,,,,,,,,,,243.2574005126953,,,
2000-11-20,,,,3.008268117904663,,,,,61.86715698242188,,,299.0655212402344,,494.4859924316406,,,,,,,,,,,,,243.2574005126953,,,
2000-11-21,,,,3.008268117904663,,,,,64.07663726806639,,,308.41131591796875,,509.93878173828125,,,,,,,,,,,,,246.26089477539062,,,
2000-11-22,,,,3.3664114475250244,,,,,66.2862548828125,,,308.41131591796875,,509.93878173828125,,,,,,,,,,,,,255.2701568603516,,,
2000-11-23,,,,3.223161220550537,,,,,66.2862548828125,,,327.1029052734375,,540.8441162109375,,,,,,,,,,,,,255.2701568603516,,,
2000-11-24,,,,3.2947866916656494,,,,,61.86715698242188,,,327.1029052734375,,540.8441162109375,,,,,,,,,,,,,252.2672119140625,,,
2000-11-27,,,,3.2947866916656494,,,,,64.07663726806639,,,317.7571105957031,,525.3914794921875,,,,,,,,,,,,,246.26089477539062,,,
2000-11-28,,,,3.25897479057312,,,,,61.86715698242188,,,308.41131591796875,,509.93878173828125,,,,,,,,,,,,,246.26089477539062,,,
