"DUTI","DUTI.JK"," Duta Pertiwi Tbk."
"DVLA","DVLA.JK"," Darya-Varia Laboratoria Tbk."
"DWGL","DWGL.JK"," Dwi Guna Laksana Tbk."
"EAST","EAST.JK"," Eastparc Hotel Tbk."
"ECII","ECII.JK"," Electronic City Indonesia Tbk."
"EKAD","EKAD.JK"," Ekadharma International Tbk."
"ELSA","ELSA.JK"," Elnusa Tbk."
"EMDE","EMDE.JK"," Megapolitan Developments Tbk."
"EMTK","EMTK.JK"," Elang Mahkota Teknologi Tbk."
"ENVY","ENVY.JK"," Envy Technologies Indonesia Tbk."
"EPMT","EPMT.JK"," Enseval Putera Megatrading Tbk."
"ERAA","ERAA.JK"," Erajaya Swasembada Tbk."
"EXCL","EXCL.JK"," XL Axiata Tbk."
"FAST","FAST.JK"," Fast Food Indonesia Tbk. "
"FASW","FASW.JK"," Fajar Surya Wisesa Tbk."
"FILM","FILM.JK"," MD Pictures Tbk."
"FIRE","FIRE.JK"," Alfa Energi Investama Tbk."
"FISH","FISH.JK"," FKS Multi Agro Tbk."
"FMII","FMII.JK"," Fortune Mate Indonesia Tbk."
"FOOD","FOOD.JK"," Sentra Food Indonesia Tbk."
"FORZ","FORZ.JK"," Forza Land Indonesia Tbk."
"FPNI","FPNI.JK"," Lotte Chemical Titan Tbk."
"FREN","FREN.JK"," Smartfren Telecom Tbk."
"GAMA","GAMA.JK"," Gading Development Tbk."
"GDST","GDST.JK"," Gunavvan Pi an jay a Steel Tbk."
"GDYR","GDYR.JK"," Goodyear Indonesia Tbk."
"GEMA","GEMA.JK","  Gema Grahasarana Tbk."
"GEMS","GEMS.JK"," Golden Energy Mines Tbk."
"GHON","GHON.JK"," Gihon Telekomunikasi Indonesia Tbk."
"GIAA","GIAA.JK"," Garuda Indonesia (Persero) Tbk."
"GJTL","GJTL.JK"," Gajah Tunggal Tbk."
"GMFI","GMFI.JK"," Garuda Maintenance Facility Aero Asia Tbk."
"GMTD","GMTD.JK"," Gowa Makassar Tourism Development Tbk."
"GOOD","GOOD.JK"," Garuda food Putra Putri Jaya Tbk."
"GPRA","GPRA.JK"," Perdana Gapuraprima Tbk."
"GTBO","GTBO.JK"," Garda Tujuh Buana Tbk."
"GWSA","GWSA.JK"," Greenwood Sejahtera Tbk."
"HADE","HADE.JK"," Himalaya Energi Perkasa Tbk."
"HDIT","HDIT.JK"," Hensel Davest Indonesia Tbk."
"HEAL","HEAL.JK"," Medikaloka Hermina Tbk."
"HELI","HELI.JK"," Jaya Trishindo Tbk."
"HERO","HERO.JK"," Hero Supermarket Tbk."
"HEXA","HEXA.JK"," Hexindo Adiperkasa Tbk."
"HITS","HITS.JK"," Humpuss Intermoda Transportasi Tbk."
"HKMU","HKMU.JK"," HK Metals Utama Tbk."
"HOKI","HOKI.JK"," Buyung Poetra Seinbada Tbk."
"HRME","HRME.JK"," Menteng Heritage Realty Tbk."
"HRTA","HRTA.JK"," Hartadinata Abadi Tbk."
"HRUM","HRUM.JK"," Harum Energy Tbk."
"IATA","IATA.JK"," Indonesia Transport & Infrastructure Tbk."
"IBST","IBST.JK"," Inti Bangun Sejahtera Tbk."
